Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote
Côte d'Ivoire,340 000 ,230 000 , 520 000,,420 000 ,290 000 , 600 000,,490 000 ,360 000 , 660 000,,560 000 ,420 000 , 720 000,,620 000 ,480 000 , 760 000,,660 000 ,530 000 , 800 000,,700 000 ,580 000 , 830 000,,720 000 ,610 000 , 840 000,,730 000 ,630 000 , 850 000,,730 000 ,640 000 , 840 000,,720 000 ,630 000 , 820 000,,710 000 ,630 000 , 800 000,,690 000 ,610 000 , 780 000,,660 000 ,590 000 , 750 000,,640 000 ,570 000 , 720 000,,610 000 ,550 000 , 690 000,,590 000 ,530 000 , 660 000,,570 000 ,510 000 , 630 000,,550 000 ,500 000 , 610 000,,530 000 ,480 000 , 590 000,,520 000 ,470 000 , 570 000,,500 000 ,460 000 , 560 000,,490 000 ,450 000 , 540 000,,480 000 ,440 000 , 530 000,,470 000 ,430 000 , 520 000,,460 000 ,420 000 , 510 000,,460 000 ,410 000 , 510 000,,450 000 ,410 000 , 500 000,,440 000 ,400 000 , 500 000,,440 000 ,400 000 , 490 000,,440 000 ,390 000 , 490 000,,430 000 ,390 000 , 490 000,,430 000 ,380 000 , 490 000,,420 000 ,370 000 , 480 000,
Democratic People's Republic of Korea,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Democratic Republic of the Congo,390 000 ,310 000 , 530 000,,440 000 ,340 000 , 580 000,,480 000 ,380 000 , 630 000,,520 000 ,420 000 , 690 000,,580 000 ,470 000 , 760 000,,600 000 ,480 000 , 760 000,,600 000 ,480 000 , 760 000,,600 000 ,480 000 , 770 000,,610 000 ,480 000 , 780 000,,610 000 ,490 000 , 770 000,,610 000 ,490 000 , 760 000,,610 000 ,490 000 , 760 000,,600 000 ,490 000 , 750 000,,590 000 ,480 000 , 730 000,,580 000 ,480 000 , 720 000,,570 000 ,470 000 , 710 000,,570 000 ,470 000 , 700 000,,560 000 ,470 000 , 690 000,,550 000 ,460 000 , 670 000,,540 000 ,450 000 , 660 000,,530 000 ,450 000 , 640 000,,520 000 ,440 000 , 630 000,,510 000 ,440 000 , 610 000,,510 000 ,430 000 , 610 000,,500 000 ,420 000 , 600 000,,490 000 ,410 000 , 600 000,,490 000 ,410 000 , 590 000,,490 000 ,410 000 , 600 000,,500 000 ,410 000 , 600 000,,500 000 ,410 000 , 600 000,,500 000 ,410 000 , 600 000,,510 000 ,410 000 , 610 000,,510 000 ,410 000 , 630 000,,520 000 ,410 000 , 640 000,
Denmark,2200 ,1800 , 2600,,2400 ,2100 , 2900,,2700 ,2300 , 3100,,2900 ,2500 , 3300,,3000 ,2600 , 3500,,3100 ,2700 , 3600,,3200 ,2800 , 3600,,3400 ,3000 , 3700,,3600 ,3200 , 4000,,3800 ,3300 , 4200,,4000 ,3500 , 4400,,4200 ,3600 , 4600,,4300 ,3700 , 4800,,4500 ,3800 , 4900,,4600 ,3900 , 5100,,4700 ,4000 , 5200,,4800 ,4100 , 5400,,4900 ,4200 , 5500,,5000 ,4300 , 5600,,5200 ,4400 , 5800,,5300 ,4500 , 5900,,5400 ,4500 , 6100,,5600 ,4700 , 6200,,5700 ,4800 , 6400,,5800 ,4900 , 6500,,5900 ,5000 , 6600,,6000 ,5000 , 6700,,6100 ,5100 , 6900,,6200 ,5200 , 7000,,6200 ,5200 , 7100,,6200 ,5200 , 7100,,6200 ,5200 , 7100,,6300 ,5400 , 7300,,6400 ,5500 , 7300,
Djibouti,3100 ,1900 , 5000,,4300 ,2700 , 6700,,5200 ,3300 , 7700,,6700 ,4400 , 9500,,7900 ,5300 , 11 000,,9300 ,6500 , 12 000,,11 000 ,7800 , 14 000,,12 000 ,8800 , 15 000,,13 000 ,10 000 , 16 000,,14 000 ,11 000 , 17 000,,15 000 ,11 000 , 18 000,,15 000 ,12 000 , 19 000,,15 000 ,12 000 , 19 000,,15 000 ,12 000 , 19 000,,15 000 ,12 000 , 19 000,,14 000 ,11 000 , 18 000,,14 000 ,11 000 , 18 000,,14 000 ,10 000 , 18 000,,13 000 ,10 000 , 17 000,,13 000 ,9800 , 17 000,,13 000 ,9500 , 17 000,,12 000 ,9200 , 16 000,,12 000 ,8800 , 16 000,,11 000 ,8500 , 15 000,,11 000 ,8200 , 15 000,,10 000 ,7800 , 14 000,,9700 ,7500 , 14 000,,9300 ,7100 , 13 000,,8900 ,6800 , 13 000,,8600 ,6600 , 12 000,,8200 ,6400 , 12 000,,7900 ,6100 , 11 000,,7600 ,5900 , 11 000,,7300 ,5600 , 10 000,
Dominican Republic,18 000 ,12 000 , 35 000,,25 000 ,17 000 , 42 000,,33 000 ,23 000 , 50 000,,41 000 ,30 000 , 59 000,,49 000 ,36 000 , 67 000,,57 000 ,42 000 , 74 000,,63 000 ,47 000 , 79 000,,67 000 ,52 000 , 83 000,,70 000 ,56 000 , 85 000,,73 000 ,59 000 , 85 000,,74 000 ,62 000 , 86 000,,76 000 ,64 000 , 86 000,,76 000 ,65 000 , 88 000,,76 000 ,66 000 , 89 000,,75 000 ,66 000 , 87 000,,75 000 ,66 000 , 85 000,,74 000 ,66 000 , 84 000,,74 000 ,66 000 , 85 000,,74 000 ,66 000 , 84 000,,74 000 ,66 000 , 84 000,,74 000 ,66 000 , 85 000,,74 000 ,66 000 , 85 000,,74 000 ,66 000 , 85 000,,74 000 ,65 000 , 85 000,,74 000 ,64 000 , 86 000,,74 000 ,63 000 , 86 000,,75 000 ,63 000 , 87 000,,76 000 ,63 000 , 87 000,,76 000 ,62 000 , 88 000,,78 000 ,62 000 , 90 000,,79 000 ,63 000 , 93 000,,81 000 ,64 000 , 95 000,,82 000 ,64 000 , 97 000,,84 000 ,65 000 , 99 000,
Ecuador,4100 ,2100 , 11 000,,5400 ,2600 , 12 000,,7300 ,3400 , 15 000,,9400 ,4100 , 16 000,,12 000 ,5200 , 18 000,,13 000 ,6200 , 20 000,,15 000 ,7600 , 22 000,,16 000 ,9300 , 23 000,,18 000 ,11 000 , 24 000,,19 000 ,13 000 , 25 000,,20 000 ,15 000 , 26 000,,22 000 ,17 000 , 27 000,,23 000 ,19 000 , 28 000,,24 000 ,20 000 , 28 000,,24 000 ,21 000 , 29 000,,25 000 ,22 000 , 30 000,,26 000 ,23 000 , 30 000,,27 000 ,24 000 , 31 000,,28 000 ,25 000 , 32 000,,30 000 ,26 000 , 33 000,,31 000 ,28 000 , 35 000,,32 000 ,29 000 , 36 000,,34 000 ,30 000 , 38 000,,35 000 ,31 000 , 39 000,,36 000 ,33 000 , 41 000,,38 000 ,34 000 , 42 000,,39 000 ,35 000 , 44 000,,41 000 ,36 000 , 45 000,,43 000 ,38 000 , 47 000,,44 000 ,39 000 , 49 000,,46 000 ,41 000 , 52 000,,48 000 ,42 000 , 54 000,,49 000 ,43 000 , 56 000,,51 000 ,44 000 , 58 000,
Egypt,<200 ,<200 , <200,,<200 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , 1100,,1200 ,1100 , 1300,,1400 ,1300 , 1600,,1700 ,1500 , 1900,,2000 ,1800 , 2300,,2400 ,2200 , 2700,,2900 ,2600 , 3100,,3400 ,3100 , 3700,,4000 ,3600 , 4400,,4700 ,4300 , 5100,,5500 ,5000 , 5900,,6400 ,5900 , 6900,,7400 ,6900 , 8000,,8600 ,8000 , 9100,,9900 ,9200 , 10 000,,11 000 ,11 000 , 12 000,,13 000 ,12 000 , 14 000,,15 000 ,14 000 , 16 000,,17 000 ,16 000 , 18 000,,19 000 ,18 000 , 21 000,,22 000 ,20 000 , 24 000,,25 000 ,23 000 , 28 000,,29 000 ,26 000 , 34 000,,35 000 ,30 000 , 41 000,,42 000 ,36 000 , 50 000,
El Salvador,2700 ,2100 , 3700,,3700 ,2900 , 4800,,4800 ,3900 , 6000,,6000 ,4900 , 7100,,7200 ,6000 , 8400,,8500 ,7200 , 9800,,9800 ,8300 , 11 000,,11 000 ,9500 , 12 000,,12 000 ,11 000 , 13 000,,13 000 ,12 000 , 14 000,,14 000 ,13 000 , 15 000,,15 000 ,13 000 , 16 000,,16 000 ,14 000 , 17 000,,16 000 ,15 000 , 18 000,,17 000 ,15 000 , 18 000,,17 000 ,16 000 , 19 000,,18 000 ,16 000 , 19 000,,19 000 ,17 000 , 20 000,,19 000 ,18 000 , 21 000,,20 000 ,19 000 , 21 000,,21 000 ,19 000 , 22 000,,21 000 ,19 000 , 23 000,,21 000 ,20 000 , 23 000,,22 000 ,20 000 , 23 000,,22 000 ,20 000 , 24 000,,22 000 ,20 000 , 24 000,,22 000 ,20 000 , 24 000,,22 000 ,20 000 , 24 000,,22 000 ,20 000 , 24 000,,22 000 ,20 000 , 24 000,,22 000 ,20 000 , 24 000,,22 000 ,20 000 , 24 000,,22 000 ,20 000 , 24 000,,23 000 ,20 000 , 25 000,
Equatorial Guinea,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Eritrea,14 000 ,6400 , 27 000,,14 000 ,7700 , 27 000,,17 000 ,10 000 , 30 000,,20 000 ,13 000 , 34 000,,22 000 ,15 000 , 36 000,,28 000 ,19 000 , 42 000,,28 000 ,20 000 , 41 000,,28 000 ,20 000 , 40 000,,28 000 ,20 000 , 39 000,,28 000 ,20 000 , 38 000,,27 000 ,19 000 , 37 000,,28 000 ,20 000 , 37 000,,27 000 ,19 000 , 35 000,,27 000 ,20 000 , 36 000,,26 000 ,19 000 , 34 000,,25 000 ,18 000 , 32 000,,23 000 ,17 000 , 30 000,,22 000 ,17 000 , 29 000,,22 000 ,16 000 , 28 000,,21 000 ,16 000 , 27 000,,21 000 ,15 000 , 26 000,,20 000 ,15 000 , 25 000,,19 000 ,14 000 , 24 000,,18 000 ,14 000 , 24 000,,18 000 ,13 000 , 22 000,,17 000 ,13 000 , 21 000,,16 000 ,12 000 , 20 000,,16 000 ,12 000 , 19 000,,15 000 ,12 000 , 19 000,,15 000 ,12 000 , 18 000,,14 000 ,11 000 , 18 000,,14 000 ,11 000 , 17 000,,13 000 ,11 000 , 17 000,,13 000 ,11 000 , 16 000,
Estonia,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<500 ,<200 , <500,,1500 ,1300 , 1700,,2500 ,2100 , 2800,,3300 ,2800 , 3700,,3900 ,3400 , 4400,,4500 ,3900 , 4900,,4900 ,4300 , 5400,,5300 ,4600 , 5800,,5700 ,5000 , 6200,,6000 ,5200 , 6500,,6200 ,5400 , 6600,,6400 ,5600 , 6900,,6500 ,5800 , 7000,,6600 ,5900 , 7100,,6800 ,6000 , 7300,,6900 ,6200 , 7400,,7000 ,6300 , 7500,,7100 ,6400 , 7700,,7200 ,6500 , 7900,,7300 ,6500 , 8000,,7400 ,6600 , 8100,,7400 ,6500 , 8100,,7300 ,6500 , 8100,,7300 ,6400 , 8100,
Eswatini,5400 ,4300 , 6500,,11 000 ,8700 , 13 000,,20 000 ,16 000 , 24 000,,32 000 ,26 000 , 39 000,,42 000 ,35 000 , 51 000,,58 000 ,50 000 , 69 000,,75 000 ,66 000 , 86 000,,90 000 ,81 000 , 100 000,,110 000 ,96 000 , 120 000,,120 000 ,110 000 , 130 000,,130 000 ,120 000 , 140 000,,140 000 ,130 000 , 150 000,,150 000 ,140 000 , 160 000,,160 000 ,150 000 , 170 000,,170 000 ,160 000 , 180 000,,170 000 ,160 000 , 180 000,,180 000 ,170 000 , 190 000,,180 000 ,170 000 , 190 000,,190 000 ,180 000 , 200 000,,190 000 ,180 000 , 210 000,,200 000 ,190 000 , 210 000,,210 000 ,190 000 , 220 000,,210 000 ,200 000 , 230 000,,220 000 ,210 000 , 230 000,,230 000 ,210 000 , 240 000,,230 000 ,220 000 , 240 000,,230 000 ,220 000 , 250 000,,230 000 ,220 000 , 250 000,,240 000 ,220 000 , 250 000,,240 000 ,220 000 , 260 000,,240 000 ,220 000 , 260 000,,230 000 ,220 000 , 250 000,,230 000 ,210 000 , 250 000,,230 000 ,210 000 , 250 000,
Ethiopia,410 000 ,340 000 , 500 000,,520 000 ,430 000 , 630 000,,620 000 ,520 000 , 750 000,,700 000 ,590 000 , 850 000,,770 000 ,650 000 , 940 000,,820 000 ,690 000 , 1 000 000,,850 000 ,710 000 , 1 000 000,,870 000 ,730 000 , 1 100 000,,870 000 ,730 000 , 1 100 000,,870 000 ,730 000 , 1 100 000,,860 000 ,720 000 , 1 000 000,,840 000 ,700 000 , 1 000 000,,810 000 ,680 000 , 980 000,,780 000 ,650 000 , 940 000,,750 000 ,630 000 , 910 000,,720 000 ,600 000 , 870 000,,690 000 ,580 000 , 840 000,,670 000 ,570 000 , 820 000,,660 000 ,560 000 , 810 000,,660 000 ,550 000 , 800 000,,660 000 ,550 000 , 800 000,,660 000 ,550 000 , 800 000,,660 000 ,550 000 , 800 000,,650 000 ,550 000 , 790 000,,650 000 ,550 000 , 790 000,,650 000 ,540 000 , 790 000,,650 000 ,540 000 , 780 000,,640 000 ,540 000 , 780 000,,640 000 ,530 000 , 770 000,,630 000 ,530 000 , 760 000,,620 000 ,520 000 , 760 000,,620 000 ,520 000 , 750 000,,610 000 ,510 000 , 740 000,,610 000 ,510 000 , 730 000,
Fiji,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<200 , <1000,,<200 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , 1000,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1300,,<1000 ,<1000 , 1500,,1000 ,<1000 , 1700,,1100 ,<1000 , 1900,,1300 ,<1000 , 2100,,1400 ,<1000 , 2400,,1500 ,1100 , 2700,,1700 ,1200 , 3000,,1900 ,1300 , 3400,,2100 ,1400 , 3800,,2300 ,1500 , 4300,,2600 ,1700 , 4800,
Finland,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
France,56 000 ,48 000 , 67 000,,58 000 ,49 000 , 68 000,,58 000 ,50 000 , 69 000,,58 000 ,50 000 , 68 000,,58 000 ,50 000 , 67 000,,57 000 ,49 000 , 67 000,,57 000 ,49 000 , 65 000,,59 000 ,51 000 , 68 000,,64 000 ,55 000 , 72 000,,69 000 ,60 000 , 78 000,,75 000 ,65 000 , 85 000,,82 000 ,71 000 , 93 000,,88 000 ,76 000 , 100 000,,95 000 ,82 000 , 110 000,,100 000 ,88 000 , 120 000,,110 000 ,94 000 , 120 000,,120 000 ,100 000 , 130 000,,120 000 ,100 000 , 140 000,,130 000 ,110 000 , 140 000,,140 000 ,120 000 , 150 000,,140 000 ,120 000 , 160 000,,150 000 ,130 000 , 160 000,,150 000 ,130 000 , 170 000,,160 000 ,140 000 , 170 000,,160 000 ,140 000 , 180 000,,170 000 ,140 000 , 190 000,,170 000 ,150 000 , 190 000,,180 000 ,150 000 , 200 000,,180 000 ,160 000 , 200 000,,190 000 ,160 000 , 210 000,,190 000 ,160 000 , 210 000,,200 000 ,170 000 , 220 000,,200 000 ,170 000 , 220 000,,200 000 ,170 000 , 230 000,
Gabon,6300 ,3500 , 11 000,,8400 ,4800 , 14 000,,11 000 ,6400 , 18 000,,14 000 ,8800 , 23 000,,17 000 ,11 000 , 28 000,,20 000 ,13 000 , 33 000,,24 000 ,16 000 , 38 000,,27 000 ,18 000 , 42 000,,30 000 ,19 000 , 45 000,,32 000 ,21 000 , 47 000,,34 000 ,22 000 , 48 000,,36 000 ,24 000 , 49 000,,37 000 ,25 000 , 50 000,,38 000 ,27 000 , 51 000,,39 000 ,29 000 , 52 000,,41 000 ,31 000 , 52 000,,42 000 ,32 000 , 53 000,,43 000 ,34 000 , 53 000,,44 000 ,35 000 , 54 000,,45 000 ,37 000 , 55 000,,47 000 ,39 000 , 56 000,,48 000 ,40 000 , 56 000,,49 000 ,41 000 , 57 000,,50 000 ,43 000 , 58 000,,51 000 ,44 000 , 59 000,,52 000 ,45 000 , 60 000,,53 000 ,45 000 , 61 000,,53 000 ,45 000 , 62 000,,53 000 ,45 000 , 62 000,,52 000 ,45 000 , 62 000,,52 000 ,45 000 , 63 000,,52 000 ,45 000 , 63 000,,52 000 ,44 000 , 64 000,,51 000 ,44 000 , 65 000,
Gambia,<1000 ,<500 , 1700,,1300 ,<1000 , 2500,,1900 ,<1000 , 3400,,2700 ,1400 , 4300,,3700 ,2100 , 5500,,4900 ,3000 , 7000,,6300 ,4200 , 9100,,8000 ,5400 , 11 000,,9600 ,7000 , 13 000,,11 000 ,8300 , 16 000,,13 000 ,9700 , 18 000,,14 000 ,11 000 , 20 000,,16 000 ,12 000 , 21 000,,17 000 ,13 000 , 22 000,,18 000 ,14 000 , 24 000,,19 000 ,15 000 , 25 000,,20 000 ,16 000 , 26 000,,21 000 ,16 000 , 27 000,,21 000 ,17 000 , 28 000,,22 000 ,18 000 , 29 000,,23 000 ,18 000 , 29 000,,23 000 ,19 000 , 30 000,,24 000 ,19 000 , 31 000,,25 000 ,20 000 , 31 000,,25 000 ,20 000 , 32 000,,26 000 ,21 000 , 32 000,,26 000 ,21 000 , 33 000,,26 000 ,21 000 , 33 000,,26 000 ,21 000 , 34 000,,27 000 ,21 000 , 34 000,,27 000 ,21 000 , 34 000,,27 000 ,21 000 , 34 000,,27 000 ,21 000 , 34 000,,26 000 ,21 000 , 34 000,
Georgia,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<200 ,<100 , <200,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,1100 ,1000 , 1300,,1400 ,1300 , 1600,,1800 ,1600 , 2000,,2200 ,2000 , 2400,,2600 ,2400 , 2900,,3100 ,2800 , 3400,,3600 ,3300 , 3900,,4100 ,3800 , 4400,,4600 ,4300 , 5000,,5200 ,4800 , 5600,,5700 ,5300 , 6100,,6300 ,5900 , 6700,,6800 ,6400 , 7300,,7300 ,6900 , 7800,,7800 ,7400 , 8300,,8200 ,7800 , 8700,,8600 ,8200 , 9100,,9000 ,8500 , 9500,
Germany,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,65 000 ,52 000 , 77 000,,67 000 ,54 000 , 80 000,,70 000 ,56 000 , 83 000,,72 000 ,58 000 , 86 000,,75 000 ,60 000 , 89 000,,78 000 ,62 000 , 92 000,,81 000 ,65 000 , 95 000,,83 000 ,66 000 , 98 000,,85 000 ,68 000 , 100 000,,87 000 ,70 000 , 100 000,,89 000 ,72 000 , 100 000,,91 000 ,73 000 , 110 000,,... ,... , ...,,... ,... , ...,
Ghana,97 000 ,54 000 , 160 000,,120 000 ,72 000 , 180 000,,150 000 ,94 000 , 200 000,,170 000 ,120 000 , 230 000,,200 000 ,150 000 , 250 000,,220 000 ,170 000 , 270 000,,240 000 ,200 000 , 280 000,,250 000 ,210 000 , 300 000,,270 000 ,230 000 , 310 000,,280 000 ,240 000 , 320 000,,280 000 ,250 000 , 320 000,,290 000 ,260 000 , 330 000,,300 000 ,260 000 , 330 000,,300 000 ,260 000 , 340 000,,300 000 ,260 000 , 340 000,,300 000 ,260 000 , 340 000,,300 000 ,260 000 , 340 000,,300 000 ,260 000 , 340 000,,300 000 ,250 000 , 340 000,,300 000 ,250 000 , 340 000,,300 000 ,250 000 , 340 000,,300 000 ,260 000 , 340 000,,300 000 ,260 000 , 350 000,,310 000 ,260 000 , 350 000,,310 000 ,260 000 , 350 000,,310 000 ,270 000 , 360 000,,320 000 ,270 000 , 360 000,,320 000 ,270 000 , 370 000,,320 000 ,280 000 , 370 000,,320 000 ,280 000 , 370 000,,330 000 ,280 000 , 380 000,,330 000 ,280 000 , 380 000,,330 000 ,280 000 , 390 000,,330 000 ,280 000 , 390 000,
