Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Morocco,2300 ,1500 , 4000,,2800 ,1900 , 4800,,3500 ,2400 , 5500,,4200 ,2900 , 6200,,5000 ,3600 , 7100,,5900 ,4200 , 7900,,6700 ,5000 , 8800,,7600 ,5800 , 9600,,8600 ,6800 , 11 000,,9500 ,7600 , 12 000,,11 000 ,8700 , 13 000,,11 000 ,9600 , 14 000,,12 000 ,10 000 , 14 000,,13 000 ,11 000 , 15 000,,14 000 ,12 000 , 16 000,,15 000 ,13 000 , 17 000,,16 000 ,14 000 , 17 000,,16 000 ,15 000 , 18 000,,17 000 ,15 000 , 19 000,,17 000 ,16 000 , 19 000,,18 000 ,16 000 , 20 000,,18 000 ,17 000 , 21 000,,19 000 ,17 000 , 21 000,,19 000 ,18 000 , 22 000,,20 000 ,18 000 , 22 000,,20 000 ,18 000 , 22 000,,20 000 ,19 000 , 23 000,,21 000 ,19 000 , 23 000,,21 000 ,19 000 , 23 000,,21 000 ,20 000 , 24 000,,22 000 ,20 000 , 24 000,,22 000 ,20 000 , 25 000,,23 000 ,21 000 , 25 000,,23 000 ,21 000 , 26 000,,24 000 ,21 000 , 26 000,
Mozambique,130 000 ,91 000 , 170 000,,160 000 ,120 000 , 210 000,,210 000 ,160 000 , 270 000,,270 000 ,220 000 , 330 000,,360 000 ,290 000 , 440 000,,440 000 ,370 000 , 520 000,,530 000 ,460 000 , 620 000,,610 000 ,540 000 , 720 000,,710 000 ,630 000 , 820 000,,800 000 ,720 000 , 920 000,,890 000 ,810 000 , 1 000 000,,980 000 ,900 000 , 1 100 000,,1 100 000 ,980 000 , 1 200 000,,1 100 000 ,1 000 000 , 1 300 000,,1 200 000 ,1 100 000 , 1 300 000,,1 300 000 ,1 200 000 , 1 400 000,,1 300 000 ,1 200 000 , 1 500 000,,1 400 000 ,1 300 000 , 1 500 000,,1 400 000 ,1 300 000 , 1 600 000,,1 500 000 ,1 400 000 , 1 600 000,,1 600 000 ,1 500 000 , 1 700 000,,1 700 000 ,1 600 000 , 1 800 000,,1 700 000 ,1 600 000 , 1 900 000,,1 800 000 ,1 700 000 , 1 900 000,,1 900 000 ,1 800 000 , 2 000 000,,2 000 000 ,1 900 000 , 2 100 000,,2 000 000 ,1 900 000 , 2 200 000,,2 100 000 ,2 000 000 , 2 300 000,,2 200 000 ,2 100 000 , 2 300 000,,2 200 000 ,2 100 000 , 2 400 000,,2 300 000 ,2 200 000 , 2 500 000,,2 400 000 ,2 200 000 , 2 600 000,,2 400 000 ,2 300 000 , 2 600 000,,2 400 000 ,2 300 000 , 2 700 000,,2 500 000 ,2 300 000 , 2 700 000,
Myanmar,17 000 ,15 000 , 19 000,,34 000 ,29 000 , 39 000,,51 000 ,43 000 , 59 000,,64 000 ,54 000 , 74 000,,76 000 ,65 000 , 87 000,,87 000 ,75 000 , 99 000,,100 000 ,87 000 , 110 000,,110 000 ,99 000 , 130 000,,130 000 ,110 000 , 140 000,,150 000 ,130 000 , 160 000,,160 000 ,140 000 , 180 000,,180 000 ,160 000 , 200 000,,190 000 ,170 000 , 220 000,,210 000 ,190 000 , 230 000,,220 000 ,190 000 , 240 000,,220 000 ,200 000 , 250 000,,230 000 ,210 000 , 260 000,,240 000 ,210 000 , 260 000,,240 000 ,220 000 , 270 000,,240 000 ,220 000 , 270 000,,250 000 ,220 000 , 280 000,,250 000 ,220 000 , 280 000,,250 000 ,230 000 , 280 000,,260 000 ,230 000 , 290 000,,260 000 ,230 000 , 290 000,,270 000 ,230 000 , 300 000,,270 000 ,240 000 , 310 000,,270 000 ,230 000 , 310 000,,280 000 ,230 000 , 320 000,,280 000 ,230 000 , 320 000,,280 000 ,230 000 , 330 000,,280 000 ,230 000 , 340 000,,290 000 ,230 000 , 350 000,,290 000 ,220 000 , 360 000,,290 000 ,220 000 , 370 000,
Namibia,17 000 ,15 000 , 20 000,,25 000 ,21 000 , 28 000,,35 000 ,30 000 , 39 000,,47 000 ,42 000 , 53 000,,62 000 ,55 000 , 69 000,,78 000 ,71 000 , 87 000,,95 000 ,87 000 , 100 000,,110 000 ,100 000 , 120 000,,130 000 ,120 000 , 140 000,,140 000 ,130 000 , 150 000,,150 000 ,140 000 , 160 000,,160 000 ,150 000 , 170 000,,160 000 ,150 000 , 180 000,,170 000 ,150 000 , 180 000,,170 000 ,160 000 , 180 000,,170 000 ,160 000 , 180 000,,170 000 ,160 000 , 190 000,,180 000 ,170 000 , 190 000,,180 000 ,170 000 , 200 000,,190 000 ,170 000 , 200 000,,190 000 ,180 000 , 210 000,,200 000 ,180 000 , 210 000,,200 000 ,190 000 , 220 000,,210 000 ,190 000 , 220 000,,210 000 ,200 000 , 230 000,,210 000 ,200 000 , 230 000,,220 000 ,200 000 , 240 000,,220 000 ,200 000 , 240 000,,220 000 ,200 000 , 240 000,,220 000 ,200 000 , 240 000,,220 000 ,200 000 , 240 000,,220 000 ,200 000 , 250 000,,220 000 ,200 000 , 250 000,,220 000 ,200 000 , 250 000,,220 000 ,200 000 , 250 000,
Nepal,<100 ,<100 , <100,,<100 ,<100 , <100,,<200 ,<200 , <200,,<500 ,<500 , <500,,870 ,760 , 980,,1800 ,1600 , 2000,,3500 ,3100 , 3900,,6700 ,5900 , 7500,,11 000 ,9800 , 13 000,,16 000 ,14 000 , 19 000,,22 000 ,19 000 , 24 000,,26 000 ,23 000 , 29 000,,30 000 ,26 000 , 34 000,,33 000 ,29 000 , 37 000,,36 000 ,32 000 , 40 000,,38 000 ,34 000 , 42 000,,40 000 ,35 000 , 44 000,,40 000 ,36 000 , 45 000,,41 000 ,37 000 , 45 000,,41 000 ,37 000 , 45 000,,41 000 ,37 000 , 45 000,,41 000 ,37 000 , 45 000,,41 000 ,37 000 , 45 000,,40 000 ,37 000 , 44 000,,40 000 ,36 000 , 43 000,,39 000 ,36 000 , 42 000,,38 000 ,35 000 , 41 000,,38 000 ,34 000 , 41 000,,37 000 ,34 000 , 40 000,,36 000 ,33 000 , 39 000,,36 000 ,32 000 , 39 000,,35 000 ,32 000 , 38 000,,35 000 ,32 000 , 38 000,,35 000 ,31 000 , 38 000,,34 000 ,31 000 , 38 000,
Netherlands,7200 ,6000 , 8300,,7200 ,6000 , 8400,,7300 ,6000 , 8400,,7300 ,6000 , 8400,,7300 ,6100 , 8400,,7400 ,6200 , 8400,,7700 ,6600 , 8700,,8300 ,7200 , 9400,,9100 ,7900 , 10 000,,9900 ,8600 , 11 000,,11 000 ,9400 , 12 000,,11 000 ,10 000 , 13 000,,12 000 ,11 000 , 14 000,,13 000 ,12 000 , 15 000,,14 000 ,13 000 , 16 000,,15 000 ,13 000 , 17 000,,16 000 ,14 000 , 17 000,,17 000 ,15 000 , 18 000,,18 000 ,16 000 , 19 000,,19 000 ,17 000 , 20 000,,20 000 ,18 000 , 21 000,,20 000 ,18 000 , 22 000,,21 000 ,19 000 , 23 000,,22 000 ,20 000 , 24 000,,22 000 ,20 000 , 24 000,,23 000 ,20 000 , 25 000,,23 000 ,21 000 , 25 000,,23 000 ,21 000 , 26 000,,24 000 ,21 000 , 26 000,,24 000 ,22 000 , 26 000,,24 000 ,22 000 , 27 000,,25 000 ,22 000 , 27 000,,25 000 ,22 000 , 28 000,,25 000 ,22 000 , 28 000,,... ,... , ...,
New Zealand,850 ,700 , 1000,"Children estimates were not available at the time of publication.",900 ,750 , 1100,"Children estimates were not available at the time of publication.",920 ,780 , 1100,"Children estimates were not available at the time of publication.",940 ,790 , 1100,"Children estimates were not available at the time of publication.",950 ,810 , 1100,"Children estimates were not available at the time of publication.",990 ,860 , 1100,"Children estimates were not available at the time of publication.",1100 ,920 , 1200,"Children estimates were not available at the time of publication.",1100 ,980 , 1300,"Children estimates were not available at the time of publication.",1200 ,1000 , 1300,"Children estimates were not available at the time of publication.",1200 ,1100 , 1400,"Children estimates were not available at the time of publication.",1300 ,1100 , 1500,"Children estimates were not available at the time of publication.",1400 ,1200 , 1500,"Children estimates were not available at the time of publication.",1500 ,1300 , 1700,"Children estimates were not available at the time of publication.",1600 ,1400 , 1800,"Children estimates were not available at the time of publication.",1700 ,1500 , 1900,"Children estimates were not available at the time of publication.",1900 ,1600 , 2100,"Children estimates were not available at the time of publication.",2000 ,1700 , 2200,"Children estimates were not available at the time of publication.",2100 ,1800 , 2400,"Children estimates were not available at the time of publication.",2300 ,1900 , 2600,"Children estimates were not available at the time of publication.",2400 ,2000 , 2700,"Children estimates were not available at the time of publication.",2500 ,2100 , 2900,"Children estimates were not available at the time of publication.",2700 ,2200 , 3000,"Children estimates were not available at the time of publication.",2800 ,2300 , 3100,"Children estimates were not available at the time of publication.",2900 ,2500 , 3300,"Children estimates were not available at the time of publication.",3000 ,2500 , 3400,"Children estimates were not available at the time of publication.",3200 ,2700 , 3600,"Children estimates were not available at the time of publication.",3400 ,2800 , 3800,"Children estimates were not available at the time of publication.",3500 ,3000 , 4000,"Children estimates were not available at the time of publication.",3600 ,3000 , 4000,"Children estimates were not available at the time of publication.",3700 ,3200 , 4200,"Children estimates were not available at the time of publication.",3800 ,3200 , 4300,"Children estimates were not available at the time of publication.",3900 ,3300 , 4400,"Children estimates were not available at the time of publication.",3900 ,3300 , 4500,"Children estimates were not available at the time of publication.",4000 ,3300 , 4500,"Children estimates were not available at the time of publication.",4100 ,3500 , 4700,"Children estimates were not available at the time of publication."
Nicaragua,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Niger,10 000 ,7100 , 14 000,,15 000 ,11 000 , 19 000,,19 000 ,15 000 , 24 000,,24 000 ,19 000 , 30 000,,29 000 ,23 000 , 36 000,,34 000 ,27 000 , 40 000,,38 000 ,31 000 , 44 000,,41 000 ,35 000 , 48 000,,43 000 ,37 000 , 50 000,,45 000 ,38 000 , 52 000,,46 000 ,39 000 , 52 000,,46 000 ,39 000 , 53 000,,46 000 ,39 000 , 52 000,,45 000 ,39 000 , 51 000,,44 000 ,38 000 , 50 000,,43 000 ,38 000 , 49 000,,42 000 ,37 000 , 48 000,,41 000 ,36 000 , 46 000,,40 000 ,35 000 , 45 000,,39 000 ,35 000 , 44 000,,38 000 ,34 000 , 43 000,,37 000 ,33 000 , 42 000,,36 000 ,32 000 , 41 000,,35 000 ,32 000 , 40 000,,35 000 ,31 000 , 39 000,,34 000 ,30 000 , 38 000,,33 000 ,30 000 , 37 000,,33 000 ,29 000 , 37 000,,32 000 ,29 000 , 37 000,,32 000 ,29 000 , 36 000,,32 000 ,29 000 , 36 000,,32 000 ,29 000 , 36 000,,32 000 ,29 000 , 36 000,,32 000 ,28 000 , 36 000,,32 000 ,28 000 , 36 000,
Nigeria,500 000 ,400 000 , 600 000,,610 000 ,510 000 , 740 000,,740 000 ,620 000 , 880 000,,880 000 ,750 000 , 1 000 000,,1 000 000 ,890 000 , 1 200 000,,1 100 000 ,1 000 000 , 1 300 000,,1 300 000 ,1 100 000 , 1 500 000,,1 400 000 ,1 200 000 , 1 600 000,,1 500 000 ,1 300 000 , 1 700 000,,1 600 000 ,1 400 000 , 1 800 000,,1 600 000 ,1 500 000 , 1 900 000,,1 700 000 ,1 500 000 , 1 900 000,,1 700 000 ,1 600 000 , 2 000 000,,1 800 000 ,1 600 000 , 2 000 000,,1 800 000 ,1 600 000 , 2 000 000,,1 800 000 ,1 700 000 , 2 000 000,,1 800 000 ,1 700 000 , 2 000 000,,1 900 000 ,1 700 000 , 2 000 000,,1 900 000 ,1 700 000 , 2 100 000,,1 900 000 ,1 800 000 , 2 100 000,,1 900 000 ,1 800 000 , 2 100 000,,2 000 000 ,1 800 000 , 2 200 000,,2 000 000 ,1 800 000 , 2 200 000,,2 000 000 ,1 900 000 , 2 200 000,,2 000 000 ,1 900 000 , 2 200 000,,2 000 000 ,1 900 000 , 2 200 000,,2 000 000 ,1 900 000 , 2 200 000,,2 000 000 ,1 900 000 , 2 200 000,,2 000 000 ,1 900 000 , 2 200 000,,2 000 000 ,1 900 000 , 2 200 000,,2 000 000 ,1 900 000 , 2 200 000,,2 000 000 ,1 900 000 , 2 200 000,,2 000 000 ,1 800 000 , 2 200 000,,2 000 000 ,1 800 000 , 2 200 000,,2 000 000 ,1 800 000 , 2 100 000,
North Macedonia,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , 510,"Children estimates were not available at the time of publication.",<500 ,<500 , 570,"Children estimates were not available at the time of publication.",530 ,<500 , 620,"Children estimates were not available at the time of publication.",570 ,<500 , 680,"Children estimates were not available at the time of publication.",610 ,530 , 740,"Children estimates were not available at the time of publication.",660 ,550 , 800,"Children estimates were not available at the time of publication.",700 ,570 , 860,"Children estimates were not available at the time of publication.",740 ,600 , 900,"Children estimates were not available at the time of publication."
Norway,860 ,720 , 1000,"Children estimates were not available at the time of publication.",930 ,770 , 1100,"Children estimates were not available at the time of publication.",980 ,820 , 1100,"Children estimates were not available at the time of publication.",1000 ,850 , 1200,"Children estimates were not available at the time of publication.",1000 ,860 , 1200,"Children estimates were not available at the time of publication.",1100 ,880 , 1200,"Children estimates were not available at the time of publication.",1100 ,920 , 1300,"Children estimates were not available at the time of publication.",1200 ,990 , 1300,"Children estimates were not available at the time of publication.",1300 ,1100 , 1500,"Children estimates were not available at the time of publication.",1400 ,1200 , 1600,"Children estimates were not available at the time of publication.",1500 ,1300 , 1800,"Children estimates were not available at the time of publication.",1700 ,1400 , 1900,"Children estimates were not available at the time of publication.",1900 ,1600 , 2200,"Children estimates were not available at the time of publication.",2100 ,1800 , 2500,"Children estimates were not available at the time of publication.",2300 ,2000 , 2700,"Children estimates were not available at the time of publication.",2500 ,2200 , 3000,"Children estimates were not available at the time of publication.",2800 ,2400 , 3300,"Children estimates were not available at the time of publication.",3000 ,2500 , 3600,"Children estimates were not available at the time of publication.",3200 ,2700 , 3900,"Children estimates were not available at the time of publication.",3400 ,2900 , 4100,"Children estimates were not available at the time of publication.",3700 ,3100 , 4400,"Children estimates were not available at the time of publication.",3900 ,3200 , 4600,"Children estimates were not available at the time of publication.",4100 ,3400 , 4800,"Children estimates were not available at the time of publication.",4200 ,3600 , 5000,"Children estimates were not available at the time of publication.",4400 ,3700 , 5200,"Children estimates were not available at the time of publication.",4500 ,3800 , 5300,"Children estimates were not available at the time of publication.",4700 ,4000 , 5500,"Children estimates were not available at the time of publication.",4800 ,4100 , 5600,"Children estimates were not available at the time of publication.",4900 ,4200 , 5700,"Children estimates were not available at the time of publication.",5000 ,4300 , 5800,"Children estimates were not available at the time of publication.",5100 ,4400 , 5900,"Children estimates were not available at the time of publication.",5200 ,4400 , 6000,"Children estimates were not available at the time of publication.",5300 ,4500 , 6000,"Children estimates were not available at the time of publication.",5300 ,4500 , 6100,"Children estimates were not available at the time of publication.",5400 ,4500 , 6100,"Children estimates were not available at the time of publication."
Oman,<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",510 ,<500 , 670,"Children estimates were not available at the time of publication.",700 ,610 , 810,"Children estimates were not available at the time of publication.",800 ,740 , 880,"Children estimates were not available at the time of publication.",870 ,800 , 930,"Children estimates were not available at the time of publication.",920 ,850 , 980,"Children estimates were not available at the time of publication.",950 ,880 , 1000,"Children estimates were not available at the time of publication.",980 ,910 , 1100,"Children estimates were not available at the time of publication.",1000 ,930 , 1100,"Children estimates were not available at the time of publication.",1000 ,960 , 1100,"Children estimates were not available at the time of publication.",1100 ,1000 , 1200,"Children estimates were not available at the time of publication.",1100 ,1000 , 1200,"Children estimates were not available at the time of publication.",1200 ,1100 , 1200,"Children estimates were not available at the time of publication.",1200 ,1100 , 1300,"Children estimates were not available at the time of publication.",1200 ,1200 , 1300,"Children estimates were not available at the time of publication.",1300 ,1200 , 1400,"Children estimates were not available at the time of publication.",1300 ,1200 , 1400,"Children estimates were not available at the time of publication.",1400 ,1300 , 1500,"Children estimates were not available at the time of publication.",1400 ,1300 , 1500,"Children estimates were not available at the time of publication.",1500 ,1400 , 1600,"Children estimates were not available at the time of publication.",2000 ,1800 , 2100,"Children estimates were not available at the time of publication.",2300 ,2200 , 2500,"Children estimates were not available at the time of publication.",2400 ,2300 , 2600,"Children estimates were not available at the time of publication.",2500 ,2400 , 2700,"Children estimates were not available at the time of publication.",2700 ,2500 , 2900,"Children estimates were not available at the time of publication.",2800 ,2600 , 3000,"Children estimates were not available at the time of publication.",2900 ,2700 , 3100,"Children estimates were not available at the time of publication.",2900 ,2700 , 3100,"Children estimates were not available at the time of publication.",2800 ,2600 , 3000,"Children estimates were not available at the time of publication.",2700 ,2500 , 2900,"Children estimates were not available at the time of publication.",2700 ,2500 , 2900,"Children estimates were not available at the time of publication.",3000 ,2800 , 3300,"Children estimates were not available at the time of publication.",3100 ,2900 , 3400,"Children estimates were not available at the time of publication.",3300 ,3000 , 3600,"Children estimates were not available at the time of publication."
Pakistan,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<200 ,<100 , <200,,<200 ,<200 , <200,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , 540,,630 ,550 , 700,,810 ,710 , 910,,1100 ,950 , 1200,,2100 ,1800 , 2300,,7900 ,6900 , 8900,,18 000 ,15 000 , 20 000,,28 000 ,24 000 , 32 000,,41 000 ,34 000 , 46 000,,54 000 ,46 000 , 62 000,,68 000 ,58 000 , 77 000,,81 000 ,70 000 , 91 000,,94 000 ,81 000 , 100 000,,110 000 ,93 000 , 120 000,,120 000 ,110 000 , 130 000,,130 000 ,120 000 , 150 000,,150 000 ,130 000 , 160 000,,160 000 ,140 000 , 180 000,,180 000 ,160 000 , 190 000,,200 000 ,170 000 , 210 000,,220 000 ,190 000 , 230 000,,240 000 ,210 000 , 260 000,,260 000 ,240 000 , 280 000,,290 000 ,260 000 , 300 000,,310 000 ,290 000 , 340 000,,350 000 ,320 000 , 370 000,
Panama,4100 ,3400 , 4600,,5100 ,4500 , 5700,,6200 ,5500 , 6900,,7100 ,6400 , 7900,,8000 ,7200 , 8900,,8800 ,7900 , 9800,,9600 ,8600 , 11 000,,10 000 ,9200 , 11 000,,11 000 ,9800 , 12 000,,12 000 ,10 000 , 13 000,,12 000 ,11 000 , 13 000,,13 000 ,12 000 , 14 000,,13 000 ,12 000 , 15 000,,14 000 ,13 000 , 15 000,,15 000 ,14 000 , 16 000,,15 000 ,14 000 , 16 000,,16 000 ,15 000 , 17 000,,17 000 ,15 000 , 18 000,,17 000 ,16 000 , 18 000,,18 000 ,17 000 , 19 000,,19 000 ,17 000 , 20 000,,20 000 ,18 000 , 21 000,,20 000 ,19 000 , 22 000,,21 000 ,20 000 , 23 000,,22 000 ,20 000 , 24 000,,23 000 ,21 000 , 25 000,,24 000 ,22 000 , 26 000,,25 000 ,23 000 , 27 000,,26 000 ,24 000 , 28 000,,27 000 ,25 000 , 29 000,,28 000 ,25 000 , 30 000,,28 000 ,26 000 , 31 000,,29 000 ,27 000 , 32 000,,30 000 ,27 000 , 34 000,,31 000 ,28 000 , 35 000,
Papua New Guinea,5200 ,3100 , 8200,,6600 ,4100 , 10 000,,8000 ,5400 , 12 000,,9600 ,6500 , 13 000,,11 000 ,7900 , 15 000,,13 000 ,9400 , 18 000,,15 000 ,11 000 , 20 000,,17 000 ,13 000 , 22 000,,20 000 ,15 000 , 25 000,,22 000 ,18 000 , 28 000,,25 000 ,20 000 , 31 000,,27 000 ,22 000 , 34 000,,30 000 ,25 000 , 37 000,,33 000 ,27 000 , 40 000,,35 000 ,30 000 , 43 000,,38 000 ,32 000 , 46 000,,41 000 ,35 000 , 49 000,,44 000 ,38 000 , 53 000,,47 000 ,41 000 , 56 000,,51 000 ,44 000 , 60 000,,54 000 ,48 000 , 63 000,,58 000 ,51 000 , 67 000,,61 000 ,54 000 , 71 000,,64 000 ,57 000 , 74 000,,68 000 ,60 000 , 78 000,,72 000 ,63 000 , 82 000,,75 000 ,67 000 , 86 000,,79 000 ,71 000 , 90 000,,84 000 ,75 000 , 96 000,,89 000 ,79 000 , 100 000,,94 000 ,84 000 , 110 000,,99 000 ,90 000 , 110 000,,110 000 ,95 000 , 120 000,,110 000 ,100 000 , 130 000,,120 000 ,110 000 , 140 000,
Paraguay,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,530 ,<500 , 660,,810 ,630 , 990,,1200 ,950 , 1400,,1700 ,1400 , 2000,,2300 ,1900 , 2600,,2900 ,2500 , 3200,,3500 ,3100 , 3900,,4100 ,3700 , 4600,,4800 ,4300 , 5300,,5400 ,4900 , 5900,,6000 ,5400 , 6600,,6600 ,6000 , 7200,,7200 ,6600 , 7900,,7900 ,7300 , 8600,,8700 ,8000 , 9300,,9500 ,8800 , 10 000,,10 000 ,9600 , 11 000,,11 000 ,10 000 , 12 000,,12 000 ,11 000 , 13 000,,13 000 ,12 000 , 14 000,,14 000 ,13 000 , 15 000,,15 000 ,14 000 , 16 000,,16 000 ,15 000 , 17 000,,17 000 ,15 000 , 18 000,,17 000 ,16 000 , 19 000,,18 000 ,17 000 , 19 000,,19 000 ,18 000 , 20 000,,20 000 ,18 000 , 21 000,,21 000 ,19 000 , 22 000,,21 000 ,20 000 , 23 000,,22 000 ,20 000 , 24 000,,23 000 ,21 000 , 24 000,
Peru,42 000 ,33 000 , 55 000,,46 000 ,37 000 , 58 000,,49 000 ,40 000 , 62 000,,52 000 ,43 000 , 64 000,,54 000 ,45 000 , 66 000,,56 000 ,48 000 , 68 000,,58 000 ,49 000 , 70 000,,59 000 ,51 000 , 72 000,,60 000 ,52 000 , 73 000,,61 000 ,52 000 , 74 000,,61 000 ,53 000 , 74 000,,62 000 ,54 000 , 74 000,,62 000 ,54 000 , 73 000,,62 000 ,53 000 , 73 000,,62 000 ,54 000 , 72 000,,62 000 ,54 000 , 72 000,,62 000 ,54 000 , 72 000,,63 000 ,55 000 , 73 000,,63 000 ,56 000 , 74 000,,64 000 ,57 000 , 75 000,,66 000 ,58 000 , 76 000,,68 000 ,60 000 , 78 000,,70 000 ,62 000 , 81 000,,73 000 ,64 000 , 84 000,,76 000 ,67 000 , 88 000,,79 000 ,70 000 , 92 000,,83 000 ,74 000 , 97 000,,88 000 ,78 000 , 100 000,,94 000 ,84 000 , 110 000,,99 000 ,88 000 , 110 000,,100 000 ,92 000 , 120 000,,110 000 ,97 000 , 130 000,,110 000 ,100 000 , 130 000,,120 000 ,110 000 , 140 000,,130 000 ,110 000 , 140 000,
