Country,2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Dominica,... ,... , ...,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",... ,... , ...,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",31 ,28 , 36,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",33 ,29 , 38,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",23 ,20 , 27,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",28 ,24 , 32,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",36 ,31 , 41,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",36 ,31 , 41,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",45 ,39 , 53,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",48 ,41 , 56,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",53 ,45 , 63,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",59 ,49 , 69,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",57 ,47 , 68,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",64 ,52 , 77,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",65 ,53 , 79,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Dominican Republic,20 ,17 , 22,,23 ,20 , 26,,26 ,22 , 29,,28 ,24 , 32,,31 ,27 , 36,,34 ,29 , 38,,36 ,31 , 41,,39 ,33 , 45,,42 ,35 , 48,,45 ,37 , 52,,48 ,39 , 57,,54 ,42 , 63,,61 ,47 , 71,,62 ,47 , 72,,66 ,50 , 77,
Ecuador,20 ,18 , 23,,24 ,22 , 28,,25 ,22 , 28,,28 ,25 , 31,,31 ,28 , 35,,38 ,34 , 42,,43 ,39 , 49,,50 ,44 , 56,,56 ,50 , 63,,67 ,60 , 75,,71 ,64 , 80,,71 ,63 , 80,,77 ,68 , 87,,80 ,71 , 91,,82 ,72 , 94,
Egypt,3 ,2 , 4,,3 ,3 , 4,,4 ,3 , 5,,5 ,4 , 7,,7 ,5 , 9,,8 ,6 , 11,,11 ,8 , 14,,15 ,11 , 20,,20 ,15 , 26,,23 ,17 , 31,,26 ,20 , 35,,29 ,21 , 39,,34 ,25 , 46,,38 ,28 , 51,,45 ,33 , 61,
El Salvador,43 ,40 , 46,,45 ,42 , 49,,48 ,44 , 51,,53 ,48 , 56,,55 ,50 , 59,,57 ,52 , 61,,60 ,55 , 65,,62 ,56 , 67,,62 ,56 , 67,,69 ,63 , 76,,71 ,64 , 78,,74 ,67 , 82,,75 ,67 , 82,,76 ,67 , 83,,76 ,67 , 84,
Equatorial Guinea,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Eritrea,26 ,20 , 32,,32 ,25 , 39,,38 ,30 , 47,,45 ,35 , 54,,52 ,42 , 64,,59 ,47 , 71,,63 ,51 , 77,,65 ,53 , 79,,67 ,55 , 81,,68 ,55 , 82,,71 ,58 , 85,,69 ,56 , 83,,70 ,57 , 84,,71 ,58 , 85,,72 ,58 , 86,
Estonia,34 ,30 , 37,"Children estimates were not available at the time of publication.",40 ,35 , 43,"Children estimates were not available at the time of publication.",45 ,40 , 49,"Children estimates were not available at the time of publication.",47 ,42 , 51,"Children estimates were not available at the time of publication.",52 ,46 , 56,"Children estimates were not available at the time of publication.",60 ,53 , 64,"Children estimates were not available at the time of publication.",65 ,58 , 70,"Children estimates were not available at the time of publication.",68 ,62 , 74,"Children estimates were not available at the time of publication.",71 ,64 , 76,"Children estimates were not available at the time of publication.",72 ,66 , 79,"Children estimates were not available at the time of publication.",71 ,64 , 77,"Children estimates were not available at the time of publication.",70 ,64 , 77,"Children estimates were not available at the time of publication.",69 ,62 , 76,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Eswatini,31 ,29 , 32,,34 ,32 , 36,,38 ,36 , 41,,43 ,41 , 46,,52 ,49 , 55,,67 ,63 , 71,,77 ,72 , 83,,78 ,73 , 84,,78 ,73 , 85,,84 ,79 , 92,,90 ,84 , >98,,88 ,82 , 96,,89 ,83 , 98,,91 ,84 , >98,,94 ,87 , >98,
Ethiopia,33 ,28 , 40,,40 ,33 , 48,,44 ,36 , 52,,48 ,40 , 58,,56 ,46 , 67,,60 ,50 , 72,,66 ,55 , 79,,69 ,57 , 83,,71 ,60 , 86,,75 ,63 , 90,,78 ,65 , 93,,78 ,65 , 93,,82 ,69 , >98,,85 ,71 , >98,,88 ,74 , >98,
Fiji,58 ,19 , >98,,51 ,19 , 92,,62 ,25 , >98,,47 ,21 , 74,,41 ,20 , 61,,32 ,17 , 43,,26 ,15 , 35,,25 ,16 , 31,,25 ,17 , 31,,24 ,18 , 29,,21 ,17 , 26,,22 ,18 , 27,,15 ,12 , 19,,15 ,12 , 20,,24 ,18 , 36,
Finland,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
France,85 ,73 , 94,,86 ,74 , 95,,86 ,75 , 95,,87 ,75 , 96,,88 ,76 , 97,,90 ,77 , >98,,90 ,77 , >98,,90 ,77 , >98,,89 ,77 , 98,,89 ,77 , >98,,89 ,77 , 98,,90 ,78 , >98,,91 ,79 , >98,,... ,... , ...,,... ,... , ...,
Gabon,23 ,19 , 26,,28 ,24 , 33,,33 ,28 , 39,,38 ,33 , 44,,40 ,34 , 46,,40 ,35 , 47,,41 ,36 , 48,,42 ,36 , 49,,42 ,37 , 50,,45 ,38 , 53,,45 ,39 , 54,,48 ,41 , 57,,54 ,46 , 66,,57 ,47 , 69,,64 ,53 , 79,
Gambia,9 ,7 , 11,,13 ,11 , 17,,16 ,13 , 20,,16 ,13 , 20,,17 ,14 , 22,,19 ,16 , 25,,23 ,19 , 29,,26 ,21 , 33,,29 ,23 , 37,,31 ,25 , 40,,32 ,25 , 40,,33 ,26 , 42,,38 ,30 , 47,,40 ,32 , 51,,44 ,35 , 57,
Georgia,32 ,29 , 34,"Children estimates were not available at the time of publication.",37 ,34 , 40,"Children estimates were not available at the time of publication.",48 ,44 , 52,"Children estimates were not available at the time of publication.",53 ,48 , 56,"Children estimates were not available at the time of publication.",57 ,52 , 61,"Children estimates were not available at the time of publication.",61 ,57 , 65,"Children estimates were not available at the time of publication.",66 ,61 , 70,"Children estimates were not available at the time of publication.",68 ,64 , 72,"Children estimates were not available at the time of publication.",70 ,65 , 74,"Children estimates were not available at the time of publication.",71 ,67 , 75,"Children estimates were not available at the time of publication.",71 ,67 , 75,"Children estimates were not available at the time of publication.",71 ,67 , 74,"Children estimates were not available at the time of publication.",70 ,66 , 73,"Children estimates were not available at the time of publication.",71 ,67 , 74,"Children estimates were not available at the time of publication.",72 ,68 , 76,"Children estimates were not available at the time of publication."
Germany,70 ,56 , 83,,72 ,58 , 85,,75 ,60 , 88,,77 ,61 , 90,,78 ,63 , 92,,80 ,65 , 94,,82 ,66 , 96,,84 ,68 , >98,,86 ,69 , >98,,88 ,71 , >98,,90 ,73 , >98,,92 ,75 , >98,,93 ,76 , >98,,93 ,76 , >98,,... ,... , ...,
Ghana,13 ,12 , 15,,19 ,17 , 22,,22 ,20 , 26,,24 ,21 , 28,,26 ,23 , 31,,26 ,22 , 30,,29 ,25 , 33,,32 ,28 , 36,,33 ,29 , 38,,34 ,29 , 39,,37 ,32 , 43,,40 ,35 , 47,,45 ,39 , 53,,45 ,39 , 54,,47 ,40 , 56,
Greece,47 ,39 , 52,"Children estimates were not available at the time of publication.",49 ,41 , 54,"Children estimates were not available at the time of publication.",51 ,43 , 56,"Children estimates were not available at the time of publication.",55 ,46 , 60,"Children estimates were not available at the time of publication.",58 ,49 , 64,"Children estimates were not available at the time of publication.",62 ,52 , 68,"Children estimates were not available at the time of publication.",66 ,56 , 73,"Children estimates were not available at the time of publication.",68 ,57 , 74,"Children estimates were not available at the time of publication.",67 ,57 , 74,"Children estimates were not available at the time of publication.",66 ,56 , 73,"Children estimates were not available at the time of publication.",66 ,55 , 73,"Children estimates were not available at the time of publication.",66 ,55 , 73,"Children estimates were not available at the time of publication.",66 ,55 , 73,"Children estimates were not available at the time of publication.",65 ,55 , 73,"Children estimates were not available at the time of publication.",66 ,55 , 74,"Children estimates were not available at the time of publication."
Guatemala,44 ,35 , 53,,49 ,39 , 60,,54 ,44 , 67,,59 ,48 , 72,,60 ,49 , 75,,58 ,47 , 73,,58 ,48 , 73,,62 ,52 , 78,,68 ,56 , 85,,71 ,59 , 89,,71 ,59 , 88,,73 ,61 , 92,,76 ,63 , 94,,78 ,65 , 97,,78 ,64 , 98,
Guinea,19 ,16 , 21,,21 ,18 , 24,,25 ,21 , 28,,24 ,21 , 28,,27 ,24 , 31,,28 ,24 , 31,,30 ,27 , 34,,33 ,29 , 38,,34 ,29 , 39,,43 ,37 , 49,,48 ,41 , 56,,54 ,46 , 62,,62 ,52 , 72,,66 ,56 , 78,,74 ,63 , 89,
Guinea-Bissau,10 ,9 , 11,,13 ,12 , 15,,17 ,15 , 19,,18 ,16 , 20,,22 ,19 , 24,,26 ,22 , 29,,32 ,28 , 36,,33 ,29 , 37,,42 ,36 , 47,,47 ,41 , 54,,51 ,44 , 58,,57 ,49 , 66,,64 ,55 , 74,,65 ,55 , 74,,79 ,67 , 91,
Guyana,46 ,34 , 71,,50 ,36 , 78,,53 ,38 , 82,,56 ,40 , 86,,57 ,41 , 88,,58 ,42 , 91,,61 ,44 , 94,,64 ,46 , 97,,62 ,45 , 94,,66 ,48 , >98,,63 ,46 , 94,,64 ,47 , 94,,65 ,48 , 94,,66 ,48 , 95,,69 ,51 , >98,
Haiti,13 ,11 , 14,,16 ,15 , 18,,20 ,18 , 23,,25 ,23 , 28,,29 ,26 , 32,,32 ,29 , 36,,30 ,28 , 34,,49 ,45 , 55,,49 ,45 , 56,,63 ,57 , 71,,77 ,69 , 87,,78 ,70 , 89,,81 ,72 , 92,,82 ,73 , 95,,87 ,77 , >98,
Honduras,33 ,30 , 36,,37 ,34 , 41,,41 ,38 , 45,,45 ,41 , 49,,48 ,44 , 53,,52 ,47 , 57,,55 ,50 , 60,,59 ,54 , 65,,60 ,55 , 67,,62 ,56 , 68,,63 ,57 , 70,,66 ,59 , 74,,70 ,63 , 78,,71 ,64 , 80,,74 ,66 , 83,
Hungary,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Iceland,66 ,54 , 77,"Children estimates were not available at the time of publication.",68 ,55 , 78,"Children estimates were not available at the time of publication.",69 ,56 , 79,"Children estimates were not available at the time of publication.",70 ,57 , 80,"Children estimates were not available at the time of publication.",70 ,57 , 80,"Children estimates were not available at the time of publication.",71 ,57 , 80,"Children estimates were not available at the time of publication.",71 ,58 , 81,"Children estimates were not available at the time of publication.",77 ,63 , 88,"Children estimates were not available at the time of publication.",82 ,68 , 94,"Children estimates were not available at the time of publication.",84 ,70 , 96,"Children estimates were not available at the time of publication.",85 ,71 , >98,"Children estimates were not available at the time of publication.",84 ,69 , >98,"Children estimates were not available at the time of publication.",82 ,69 , >98,"Children estimates were not available at the time of publication.",89 ,72 , >98,"Children estimates were not available at the time of publication.",88 ,71 , >98,"Children estimates were not available at the time of publication."
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65 ,55 , 78,,69 ,59 , 83,,72 ,61 , 86,
Indonesia,5 ,4 , 5,,6 ,5 , 6,,7 ,6 , 7,,8 ,7 , 8,,10 ,9 , 11,,12 ,11 , 13,,14 ,13 , 16,,16 ,15 , 18,,19 ,18 , 21,,22 ,20 , 24,,25 ,23 , 27,,27 ,24 , 29,,29 ,26 , 32,,31 ,28 , 34,,41 ,37 , 45,
Iran (Islamic Republic of),... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Iraq,20 ,16 , 26,"Children estimates were not available at the time of publication.",21 ,16 , 26,"Children estimates were not available at the time of publication.",21 ,17 , 27,"Children estimates were not available at the time of publication.",23 ,18 , 29,"Children estimates were not available at the time of publication.",24 ,20 , 31,"Children estimates were not available at the time of publication.",27 ,23 , 34,"Children estimates were not available at the time of publication.",31 ,26 , 39,"Children estimates were not available at the time of publication.",39 ,32 , 48,"Children estimates were not available at the time of publication.",42 ,34 , 52,"Children estimates were not available at the time of publication.",44 ,36 , 56,"Children estimates were not available at the time of publication.",44 ,34 , 57,"Children estimates were not available at the time of publication.",49 ,38 , 65,"Children estimates were not available at the time of publication.",55 ,42 , 74,"Children estimates were not available at the time of publication.",57 ,43 , 76,"Children estimates were not available at the time of publication.",66 ,48 , 86,"Children estimates were not available at the time of publication."
Ireland,61 ,54 , 65,,64 ,57 , 69,,67 ,59 , 72,,70 ,62 , 75,,73 ,64 , 79,,75 ,66 , 81,,77 ,68 , 84,,79 ,70 , 86,,80 ,71 , 87,,84 ,73 , 91,,86 ,76 , 95,,86 ,76 , 96,,90 ,79 , >98,,89 ,79 , >98,,... ,... , ...,
Israel,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Italy,66 ,57 , 74,,69 ,59 , 76,,71 ,60 , 79,,72 ,62 , 81,,74 ,63 , 83,,75 ,64 , 84,,77 ,65 , 85,,81 ,68 , 91,,85 ,71 , 95,,88 ,74 , >98,,87 ,73 , >98,,87 ,72 , 98,,86 ,72 , 98,,86 ,72 , 98,,... ,... , ...,
Jamaica,20 ,19 , 22,,23 ,21 , 25,,26 ,24 , 28,,30 ,28 , 33,,33 ,31 , 36,,35 ,33 , 38,,38 ,36 , 42,,42 ,39 , 46,,45 ,42 , 49,,50 ,47 , 55,,46 ,43 , 51,,50 ,46 , 55,,52 ,48 , 57,,53 ,49 , 58,,54 ,50 , 60,
Japan,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Jordan,33 ,30 , 37,"Children estimates were not available at the time of publication.",35 ,31 , 39,"Children estimates were not available at the time of publication.",39 ,35 , 43,"Children estimates were not available at the time of publication.",38 ,35 , 42,"Children estimates were not available at the time of publication.",37 ,34 , 41,"Children estimates were not available at the time of publication.",38 ,35 , 41,"Children estimates were not available at the time of publication.",44 ,40 , 48,"Children estimates were not available at the time of publication.",47 ,43 , 51,"Children estimates were not available at the time of publication.",52 ,48 , 57,"Children estimates were not available at the time of publication.",56 ,52 , 62,"Children estimates were not available at the time of publication.",57 ,53 , 63,"Children estimates were not available at the time of publication.",44 ,41 , 48,"Children estimates were not available at the time of publication.",49 ,45 , 54,"Children estimates were not available at the time of publication.",56 ,51 , 62,"Children estimates were not available at the time of publication.",64 ,58 , 70,"Children estimates were not available at the time of publication."
Kazakhstan,8 ,7 , 9,,10 ,10 , 11,,13 ,13 , 14,,17 ,16 , 18,,20 ,19 , 21,,24 ,23 , 26,,28 ,27 , 30,,38 ,36 , 41,,47 ,44 , 50,,52 ,48 , 55,,56 ,52 , 60,,60 ,56 , 65,,65 ,60 , 70,,70 ,65 , 76,,74 ,68 , 80,
Kenya,31 ,28 , 35,,38 ,34 , 44,,43 ,39 , 49,,47 ,42 , 54,,54 ,49 , 62,,65 ,58 , 74,,74 ,66 , 85,,81 ,73 , 93,,80 ,72 , 92,,78 ,70 , 89,,78 ,70 , 90,,84 ,76 , 96,,85 ,76 , 97,,86 ,77 , >98,,87 ,78 , >98,
Kuwait,32 ,22 , 34,"Children estimates were not available at the time of publication.",32 ,22 , 35,"Children estimates were not available at the time of publication.",31 ,22 , 34,"Children estimates were not available at the time of publication.",34 ,24 , 37,"Children estimates were not available at the time of publication.",33 ,24 , 36,"Children estimates were not available at the time of publication.",32 ,23 , 34,"Children estimates were not available at the time of publication.",35 ,26 , 38,"Children estimates were not available at the time of publication.",36 ,26 , 39,"Children estimates were not available at the time of publication.",38 ,28 , 41,"Children estimates were not available at the time of publication.",43 ,32 , 47,"Children estimates were not available at the time of publication.",50 ,37 , 54,"Children estimates were not available at the time of publication.",50 ,36 , 53,"Children estimates were not available at the time of publication.",50 ,36 , 53,"Children estimates were not available at the time of publication.",57 ,41 , 62,"Children estimates were not available at the time of publication.",69 ,49 , 74,"Children estimates were not available at the time of publication."
Kyrgyzstan,9 ,7 , 10,,10 ,9 , 12,,12 ,11 , 14,,18 ,16 , 20,,24 ,22 , 27,,27 ,25 , 30,,32 ,30 , 35,,36 ,33 , 39,,39 ,36 , 42,,40 ,37 , 43,,41 ,38 , 45,,45 ,41 , 48,,48 ,45 , 52,,51 ,47 , 55,,53 ,49 , 57,
Lao People's Democratic Republic,18 ,16 , 20,,20 ,18 , 21,,22 ,20 , 24,,24 ,22 , 26,,27 ,24 , 29,,29 ,27 , 32,,33 ,30 , 36,,38 ,35 , 42,,41 ,38 , 45,,44 ,40 , 48,,47 ,43 , 52,,49 ,44 , 54,,54 ,48 , 59,,59 ,54 , 65,,64 ,58 , 71,
Latvia,9 ,8 , 10,"Children estimates were not available at the time of publication.",10 ,9 , 11,"Children estimates were not available at the time of publication.",11 ,11 , 12,"Children estimates were not available at the time of publication.",13 ,12 , 14,"Children estimates were not available at the time of publication.",14 ,13 , 15,"Children estimates were not available at the time of publication.",15 ,14 , 16,"Children estimates were not available at the time of publication.",28 ,26 , 30,"Children estimates were not available at the time of publication.",34 ,32 , 37,"Children estimates were not available at the time of publication.",40 ,37 , 43,"Children estimates were not available at the time of publication.",46 ,43 , 49,"Children estimates were not available at the time of publication.",47 ,44 , 51,"Children estimates were not available at the time of publication.",49 ,45 , 52,"Children estimates were not available at the time of publication.",50 ,46 , 54,"Children estimates were not available at the time of publication.",51 ,47 , 56,"Children estimates were not available at the time of publication.",52 ,48 , 57,"Children estimates were not available at the time of publication."
Lebanon,37 ,34 , 41,"Children estimates were not available at the time of publication.",42 ,38 , 46,"Children estimates were not available at the time of publication.",44 ,40 , 49,"Children estimates were not available at the time of publication.",43 ,39 , 48,"Children estimates were not available at the time of publication.",45 ,41 , 50,"Children estimates were not available at the time of publication.",52 ,46 , 58,"Children estimates were not available at the time of publication.",61 ,54 , 69,"Children estimates were not available at the time of publication.",70 ,62 , 79,"Children estimates were not available at the time of publication.",76 ,67 , 86,"Children estimates were not available at the time of publication.",86 ,75 , >98,"Children estimates were not available at the time of publication.",85 ,72 , 98,"Children estimates were not available at the time of publication.",81 ,68 , 93,"Children estimates were not available at the time of publication.",79 ,66 , 91,"Children estimates were not available at the time of publication.",79 ,66 , 91,"Children estimates were not available at the time of publication.",79 ,66 , 91,"Children estimates were not available at the time of publication."
Lesotho,33 ,30 , 36,,34 ,31 , 37,,37 ,34 , 41,,40 ,38 , 45,,44 ,41 , 49,,51 ,48 , 57,,61 ,56 , 67,,68 ,64 , 76,,71 ,66 , 79,,77 ,72 , 87,,81 ,75 , 91,,84 ,78 , 95,,87 ,80 , 98,,90 ,84 , >98,,94 ,87 , >98,
Liberia,10 ,9 , 11,,13 ,11 , 15,,12 ,11 , 14,,15 ,13 , 17,,16 ,14 , 19,,18 ,15 , 21,,20 ,17 , 23,,30 ,25 , 35,,36 ,31 , 43,,41 ,35 , 48,,49 ,42 , 59,,57 ,48 , 69,,67 ,57 , 82,,73 ,61 , 90,,86 ,71 , >98,
Libya,44 ,41 , 46,,50 ,47 , 53,,52 ,49 , 55,,51 ,48 , 54,,55 ,52 , 58,,59 ,56 , 63,,61 ,58 , 65,,62 ,58 , 66,,68 ,64 , 73,,53 ,49 , 57,,50 ,46 , 53,,49 ,45 , 52,,47 ,43 , 51,,50 ,46 , 55,,... ,... , ...,
Lithuania,8 ,7 , 8,"Children estimates were not available at the time of publication.",10 ,9 , 11,"Children estimates were not available at the time of publication.",12 ,11 , 13,"Children estimates were not available at the time of publication.",18 ,17 , 20,"Children estimates were not available at the time of publication.",14 ,13 , 16,"Children estimates were not available at the time of publication.",22 ,21 , 24,"Children estimates were not available at the time of publication.",25 ,23 , 27,"Children estimates were not available at the time of publication.",29 ,26 , 31,"Children estimates were not available at the time of publication.",38 ,35 , 40,"Children estimates were not available at the time of publication.",40 ,36 , 43,"Children estimates were not available at the time of publication.",39 ,35 , 42,"Children estimates were not available at the time of publication.",39 ,35 , 43,"Children estimates were not available at the time of publication.",44 ,38 , 49,"Children estimates were not available at the time of publication.",48 ,41 , 55,"Children estimates were not available at the time of publication.",52 ,43 , 61,"Children estimates were not available at the time of publication."
Luxembourg,53 ,46 , 59,"Children estimates were not available at the time of publication.",56 ,49 , 63,"Children estimates were not available at the time of publication.",59 ,52 , 66,"Children estimates were not available at the time of publication.",59 ,52 , 67,"Children estimates were not available at the time of publication.",64 ,56 , 72,"Children estimates were not available at the time of publication.",66 ,58 , 73,"Children estimates were not available at the time of publication.",68 ,59 , 75,"Children estimates were not available at the time of publication.",70 ,61 , 78,"Children estimates were not available at the time of publication.",70 ,61 , 79,"Children estimates were not available at the time of publication.",71 ,62 , 80,"Children estimates were not available at the time of publication.",72 ,62 , 80,"Children estimates were not available at the time of publication.",75 ,65 , 84,"Children estimates were not available at the time of publication.",82 ,72 , 93,"Children estimates were not available at the time of publication.",83 ,72 , 93,"Children estimates were not available at the time of publication.",84 ,73 , 95,"Children estimates were not available at the time of publication."
Madagascar,1 ,<1 , 1,,1 ,1 , 2,,1 ,<1 , 2,,2 ,1 , 2,,2 ,2 , 3,,3 ,3 , 4,,4 ,3 , 5,,5 ,4 , 7,,7 ,6 , 10,,10 ,8 , 13,,10 ,8 , 14,,15 ,11 , 19,,18 ,14 , 24,,22 ,17 , 28,,29 ,22 , 38,
Malawi,27 ,26 , 29,,34 ,33 , 36,,42 ,41 , 45,,48 ,47 , 51,,54 ,52 , 57,,59 ,57 , 63,,67 ,64 , 71,,74 ,71 , 78,,80 ,77 , 85,,81 ,78 , 87,,85 ,81 , 91,,87 ,83 , 93,,88 ,84 , 95,,90 ,85 , 97,,90 ,86 , 98,
Malaysia,18 ,16 , 20,,19 ,17 , 21,,20 ,18 , 22,,23 ,20 , 24,,28 ,25 , 30,,33 ,30 , 35,,45 ,41 , 49,,48 ,44 , 53,,51 ,46 , 56,,54 ,49 , 59,,57 ,52 , 62,,57 ,51 , 62,,56 ,51 , 62,,58 ,52 , 64,,60 ,54 , 67,
Maldives,9 ,8 , 12,"Children estimates were not available at the time of publication.",12 ,11 , 17,"Children estimates were not available at the time of publication.",19 ,17 , 25,"Children estimates were not available at the time of publication.",21 ,18 , 26,"Children estimates were not available at the time of publication.",26 ,23 , 32,"Children estimates were not available at the time of publication.",30 ,27 , 37,"Children estimates were not available at the time of publication.",28 ,25 , 34,"Children estimates were not available at the time of publication.",31 ,28 , 37,"Children estimates were not available at the time of publication.",33 ,29 , 39,"Children estimates were not available at the time of publication.",41 ,36 , 50,"Children estimates were not available at the time of publication.",43 ,38 , 53,"Children estimates were not available at the time of publication.",43 ,37 , 54,"Children estimates were not available at the time of publication.",41 ,36 , 52,"Children estimates were not available at the time of publication.",43 ,37 , 55,"Children estimates were not available at the time of publication.",48 ,42 , 64,"Children estimates were not available at the time of publication."
