Country,2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_Footnote
Czechia,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Côte d'Ivoire,34 000 ,28 000 , 41 000,,32 000 ,27 000 , 39 000,,29 000 ,24 000 , 35 000,,28 000 ,23 000 , 34 000,,26 000 ,21 000 , 32 000,,24 000 ,19 000 , 29 000,,21 000 ,17 000 , 26 000,,19 000 ,15 000 , 23 000,,16 000 ,13 000 , 20 000,,14 000 ,11 000 , 17 000,,12 000 ,9400 , 16 000,,11 000 ,8500 , 15 000,,10 000 ,8000 , 14 000,,9300 ,7100 , 13 000,,8400 ,6100 , 11 000,,-75,
Democratic People's Republic of Korea,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Democratic Republic of the Congo,50 000 ,40 000 , 63 000,,49 000 ,39 000 , 60 000,,46 000 ,37 000 , 58 000,,43 000 ,34 000 , 54 000,,40 000 ,32 000 , 51 000,,36 000 ,28 000 , 46 000,,32 000 ,25 000 , 42 000,,28 000 ,21 000 , 37 000,,26 000 ,19 000 , 35 000,,28 000 ,21 000 , 36 000,,23 000 ,17 000 , 30 000,,19 000 ,13 000 , 26 000,,16 000 ,11 000 , 23 000,,15 000 ,11 000 , 22 000,,14 000 ,10 000 , 20 000,,-73,
Denmark,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",-52,"Children estimates were not available at the time of publication."
Djibouti,1300 ,990 , 1800,,1300 ,990 , 1700,,1200 ,900 , 1700,,1200 ,860 , 1600,,1100 ,830 , 1600,,1100 ,740 , 1500,,970 ,650 , 1400,,900 ,590 , 1300,,830 ,540 , 1200,,810 ,520 , 1200,,810 ,540 , 1100,,790 ,520 , 1100,,760 ,510 , 1100,,700 ,<500 , 990,,640 ,<500 , 920,,-52,
Dominica,<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",-58,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Dominican Republic,3400 ,2600 , 4300,,3300 ,2500 , 4200,,3200 ,2400 , 4000,,3100 ,2400 , 4000,,2900 ,2200 , 3800,,2700 ,2000 , 3600,,2600 ,1900 , 3500,,2600 ,1900 , 3600,,2600 ,1800 , 3500,,2400 ,1600 , 3400,,2300 ,1500 , 3200,,2100 ,1300 , 3000,,1700 ,1100 , 2500,,1400 ,860 , 2100,,1300 ,770 , 1900,,-62,
Ecuador,1200 ,930 , 1600,,1200 ,890 , 1500,,1200 ,910 , 1500,,1300 ,1000 , 1700,,1300 ,1000 , 1700,,1200 ,930 , 1500,,1000 ,770 , 1300,,860 ,630 , 1100,,690 ,<500 , 940,,530 ,<500 , 730,,<500 ,<500 , 620,,<500 ,<500 , 580,,<500 ,<500 , 600,,<500 ,<500 , 560,,<500 ,<500 , 550,,-69,
Egypt,1400 ,1000 , 1800,,1400 ,1100 , 1900,,1500 ,1100 , 2000,,1600 ,1200 , 2100,,1600 ,1200 , 2100,,1600 ,1200 , 2200,,1600 ,1200 , 2300,,1600 ,1100 , 2300,,1500 ,1000 , 2200,,1500 ,980 , 2300,,1500 ,950 , 2300,,1500 ,910 , 2400,,1500 ,880 , 2400,,1400 ,850 , 2400,,1400 ,790 , 2400,,-3,
El Salvador,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<200 ,<200 , <500,,-49,
Equatorial Guinea,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Eritrea,1000 ,660 , 1500,,920 ,570 , 1300,,800 ,<500 , 1200,,670 ,<500 , 1000,,570 ,<500 , 870,,<500 ,<500 , 750,,<500 ,<500 , 670,,<500 ,<500 , 620,,<500 ,<200 , 600,,<500 ,<200 , 590,,<500 ,<200 , 550,,<500 ,<200 , 530,,<500 ,<200 , 530,,<500 ,<200 , 500,,<500 ,<200 , <500,,-73,
Estonia,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",-27,"Children estimates were not available at the time of publication."
Eswatini,6500 ,5800 , 7600,,5400 ,4700 , 6300,,5100 ,4400 , 6100,,4900 ,4100 , 5800,,4700 ,4100 , 5400,,4400 ,3900 , 5000,,4000 ,3500 , 4600,,3300 ,2900 , 3900,,3000 ,2600 , 3600,,3300 ,2800 , 3900,,3300 ,2800 , 3900,,2900 ,2500 , 3500,,2900 ,2500 , 3500,,2900 ,2500 , 3500,,2900 ,2400 , 3400,,-56,
Ethiopia,27 000 ,17 000 , 46 000,,22 000 ,14 000 , 39 000,,19 000 ,12 000 , 33 000,,17 000 ,11 000 , 30 000,,17 000 ,11 000 , 30 000,,16 000 ,11 000 , 29 000,,16 000 ,10 000 , 27 000,,15 000 ,9700 , 26 000,,15 000 ,9400 , 26 000,,14 000 ,9100 , 25 000,,13 000 ,8300 , 23 000,,12 000 ,7600 , 21 000,,11 000 ,7100 , 19 000,,10 000 ,6600 , 18 000,,9600 ,6100 , 17 000,,-64,
Fiji,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<200 ,<200 , <200,,<200 ,<200 , <500,,6762,
Finland,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
France,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,...,
Gabon,2500 ,1700 , 3300,,2400 ,1700 , 3200,,2100 ,1500 , 2800,,1900 ,1300 , 2600,,1800 ,1300 , 2500,,2000 ,1300 , 2700,,2100 ,1500 , 2900,,2300 ,1600 , 3100,,2400 ,1700 , 3200,,2400 ,1700 , 3200,,2400 ,1700 , 3200,,2300 ,1700 , 3100,,2100 ,1500 , 2900,,1900 ,1300 , 2700,,1700 ,1200 , 2500,,-32,
Gambia,1500 ,1100 , 2100,,1300 ,960 , 2000,,1300 ,900 , 1900,,1300 ,930 , 2000,,1400 ,1000 , 2100,,1500 ,1000 , 2100,,1500 ,1000 , 2100,,1400 ,1000 , 2100,,1400 ,1000 , 2000,,1400 ,960 , 2000,,1400 ,940 , 2000,,1400 ,930 , 2000,,1400 ,880 , 1900,,1300 ,830 , 1900,,1200 ,760 , 1800,,-19,
Georgia,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",353,"Children estimates were not available at the time of publication."
Germany,<200 ,<200 , <500,,<200 ,<200 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,-19,
Ghana,20 000 ,17 000 , 24 000,,18 000 ,15 000 , 22 000,,16 000 ,13 000 , 20 000,,16 000 ,13 000 , 21 000,,16 000 ,13 000 , 21 000,,16 000 ,13 000 , 21 000,,16 000 ,13 000 , 21 000,,16 000 ,13 000 , 21 000,,16 000 ,13 000 , 21 000,,16 000 ,13 000 , 21 000,,15 000 ,12 000 , 20 000,,14 000 ,11 000 , 19 000,,13 000 ,10 000 , 18 000,,13 000 ,9400 , 17 000,,13 000 ,9300 , 17 000,,-36,
Greece,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",128,"Children estimates were not available at the time of publication."
Guatemala,<500 ,<500 , 770,,<500 ,<500 , 760,,<500 ,<500 , 750,,<500 ,<500 , 680,,<500 ,<500 , 690,,<500 ,<500 , 780,,540 ,<500 , 880,,550 ,<500 , 900,,<500 ,<500 , 810,,<500 ,<500 , 720,,<500 ,<200 , 670,,<500 ,<200 , 660,,<500 ,<500 , 610,,<500 ,<200 , 560,,<500 ,<200 , 550,,-39,
Guinea,4400 ,3500 , 5700,,4400 ,3500 , 5700,,4400 ,3500 , 5800,,4400 ,3400 , 5900,,5000 ,3900 , 6500,,5200 ,4100 , 6800,,5500 ,4500 , 7100,,5600 ,4500 , 7100,,5700 ,4600 , 7200,,5400 ,4400 , 6800,,4900 ,4000 , 6300,,4400 ,3400 , 5700,,4000 ,3100 , 5200,,3700 ,2900 , 4900,,3300 ,2500 , 4400,,-25,
Guinea-Bissau,2400 ,2100 , 2900,,2300 ,2000 , 2800,,2200 ,1900 , 2700,,2100 ,1800 , 2600,,2100 ,1700 , 2500,,1900 ,1600 , 2300,,1800 ,1500 , 2200,,1800 ,1400 , 2200,,1700 ,1400 , 2200,,1500 ,1200 , 1900,,1400 ,1000 , 1700,,1300 ,950 , 1600,,1100 ,830 , 1400,,1000 ,780 , 1300,,950 ,720 , 1200,,-60,
Guyana,<100 ,<100 , <200,,<100 ,<100 , <500,,<100 ,<100 , <200,,<100 ,<100 , <500,,<100 ,<100 , <500,,<100 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,30,
Haiti,6800 ,5600 , 8300,,6900 ,5800 , 8400,,6300 ,5300 , 7800,,5600 ,4700 , 7100,,5200 ,4300 , 6700,,5000 ,4100 , 6400,,5200 ,4200 , 6600,,4200 ,3400 , 5200,,2900 ,2300 , 3900,,2400 ,1900 , 3200,,1800 ,1500 , 2200,,1400 ,1200 , 1800,,1300 ,1100 , 1700,,1300 ,1000 , 1800,,1300 ,1000 , 1900,,-80,
Honduras,1200 ,930 , 1400,,1100 ,880 , 1300,,1000 ,820 , 1200,,920 ,730 , 1100,,830 ,650 , 1000,,780 ,600 , 990,,730 ,550 , 920,,650 ,<500 , 830,,560 ,<500 , 730,,530 ,<500 , 700,,520 ,<500 , 670,,<500 ,<500 , 620,,<500 ,<500 , 540,,<500 ,<500 , <500,,<500 ,<500 , <500,,-71,
Hungary,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Iceland,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",34,"Children estimates were not available at the time of publication."
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 000 ,21 000 , 50 000,,,
Indonesia,,13 000 , 17 000,,,15 000 , 20 000,,,18 000 , 22 000,,,20 000 , 25 000,,,21 000 , 27 000,,,22 000 , 28 000,,,23 000 , 29 000,,,24 000 , 30 000,,,24 000 , 30 000,,,23 000 , 30 000,,,23 000 , 30 000,,,24 000 , 31 000,,,24 000 , 31 000,,,23 000 , 31 000,,,21 000 , 27 000,,60,
Iran (Islamic Republic of),... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Iraq,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",90,"Children estimates were not available at the time of publication."
Ireland,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,-34,
Israel,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Italy,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , 530,,<500 ,<500 , 530,,<500 ,<500 , 550,,<500 ,<500 , 620,,<500 ,<500 , 620,,<500 ,<500 , 510,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , 510,,<500 ,<500 , 500,,17,
Jamaica,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,...,
Japan,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Jordan,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",73,"Children estimates were not available at the time of publication."
Kazakhstan,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,...,
Kenya,58 000 ,40 000 , 87 000,,51 000 ,36 000 , 77 000,,46 000 ,32 000 , 69 000,,43 000 ,30 000 , 64 000,,41 000 ,28 000 , 61 000,,36 000 ,25 000 , 54 000,,31 000 ,22 000 , 47 000,,28 000 ,20 000 , 42 000,,25 000 ,17 000 , 37 000,,24 000 ,17 000 , 36 000,,25 000 ,17 000 , 37 000,,25 000 ,18 000 , 38 000,,23 000 ,16 000 , 34 000,,21 000 ,15 000 , 32 000,,21 000 ,14 000 , 31 000,,-64,
Kuwait,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication."
